hrmonth,hryear4,pwsswgt,prtage,pemlr,peeduca,gestfips
10,2019,20697939,21,1,40,1
10,2019,25062477,1,-1,-1,1
10,2019,17360090,55,7,40,1
10,2019,6782702,3,-1,-1,2
10,2019,22236102,61,6,40,1
10,2019,19153282,36,1,39,1
10,2019,24294234,14,-1,-1,1
10,2019,19175613,46,7,39,1
10,2019,18105245,49,6,39,1
10,2019,17170602,75,6,34,1
10,2019,15974272,58,1,39,1
10,2019,17195405,13,-1,-1,1
10,2019,-1,-1,-1,-1,1
10,2019,17479089,36,1,43,1
10,2019,-1,-1,-1,-1,1
10,2019,5791570,12,-1,-1,2
10,2019,14923289,14,-1,-1,1
10,2019,17789213,18,7,37,1
10,2019,16484774,74,5,42,1
10,2019,15636640,80,5,45,1
10,2019,22674155,56,1,44,1
10,2019,15333619,7,-1,-1,1
10,2019,16154956,59,1,40,1
10,2019,17232028,10,-1,-1,1
10,2019,17170602,77,5,41,1
10,2019,15693498,11,-1,-1,1
10,2019,20836154,39,1,43,1
10,2019,-1,-1,-1,-1,1
10,2019,19327776,33,1,43,1
10,2019,20016105,38,1,44,1
10,2019,17456353,12,-1,-1,1
10,2019,18298644,14,-1,-1,1
10,2019,25063310,27,1,43,1
10,2019,26775940,28,1,43,1
10,2019,22969635,4,-1,-1,1
10,2019,17720164,32,1,39,1
10,2019,12197728,14,-1,-1,1
10,2019,-1,-1,-1,-1,1
10,2019,-1,-1,-1,-1,1
10,2019,5858376,18,7,37,2
10,2019,17724575,57,1,42,1
10,2019,18659065,16,7,35,1
10,2019,19458863,29,1,43,1
10,2019,4040875,70,5,44,2
10,2019,18065282,71,6,35,1
10,2019,23021208,53,6,36,1
10,2019,18587703,68,1,41,1
10,2019,7094815,39,1,44,2
10,2019,15773469,50,7,41,1
10,2019,20483971,49,1,38,1
10,2019,-1,-1,-1,-1,1
10,2019,14962270,57,1,39,1
10,2019,22176851,40,2,39,1
10,2019,19647952,15,7,36,1
10,2019,17170602,78,5,35,1
10,2019,20849866,80,5,33,1
10,2019,24346372,3,-1,-1,1
10,2019,20000516,76,1,44,1
10,2019,19806504,42,1,43,1
10,2019,18081076,64,7,42,1
10,2019,37201608,6,-1,-1,1
10,2019,21668846,49,6,40,1
10,2019,19309570,60,6,39,1
10,2019,33862181,28,6,39,1
10,2019,19340831,40,6,39,1
10,2019,30429161,0,-1,-1,1
10,2019,22718691,1,-1,-1,1
10,2019,-1,-1,-1,-1,1
10,2019,17778065,62,5,43,1
10,2019,28038008,12,-1,-1,1
10,2019,20096069,61,6,34,1
10,2019,4746193,45,1,40,2
10,2019,22996864,33,1,39,1
10,2019,28399239,5,-1,-1,1
10,2019,16809329,43,1,40,1
10,2019,4509074,15,7,35,2
10,2019,23862228,32,1,44,1
10,2019,21042908,1,-1,-1,1
10,2019,16900498,69,5,43,1
10,2019,0,26,-1,39,2
10,2019,24629181,23,7,40,1
10,2019,19733038,20,1,40,1
10,2019,16170828,64,1,44,1
10,2019,7306772,25,2,40,2
10,2019,22772493,55,6,35,1
10,2019,23124552,54,6,37,1
10,2019,15636640,80,6,39,1
10,2019,18881531,48,1,39,1
10,2019,19506954,49,1,43,1
10,2019,16397121,62,1,44,1
10,2019,26164105,64,5,38,1
10,2019,18054572,59,1,39,1
10,2019,26395234,24,7,39,1
10,2019,19759073,34,1,40,1
10,2019,20849295,1,-1,-1,1
10,2019,16154956,58,1,44,1
10,2019,23862228,30,1,43,1
10,2019,22189234,3,-1,-1,1
10,2019,18909948,38,1,40,1
10,2019,21634638,60,6,35,1
10,2019,-1,-1,-1,-1,1
10,2019,24898587,62,1,43,1
10,2019,23356192,12,-1,-1,1
10,2019,17506352,55,1,39,1
10,2019,23952850,35,1,44,1
10,2019,21703396,32,1,39,1
10,2019,19244957,48,1,41,1
10,2019,24351363,3,-1,-1,1
10,2019,17106560,2,-1,-1,1
10,2019,18157914,56,7,34,1
10,2019,15974272,58,1,39,1
10,2019,16599620,3,-1,-1,1
10,2019,16900498,80,5,40,1
10,2019,20784539,54,1,39,1
10,2019,16370139,80,5,41,1
10,2019,4757044,45,1,43,2
10,2019,19244957,46,1,40,1
10,2019,15437219,80,5,40,1
10,2019,-1,-1,-1,-1,1
10,2019,-1,-1,-1,-1,1
10,2019,21493509,19,7,40,1
10,2019,24877815,0,-1,-1,1
10,2019,17547523,65,5,42,1
10,2019,18914774,2,-1,-1,1
10,2019,4336601,32,1,39,2
10,2019,3653460,5,-1,-1,2
10,2019,-1,-1,-1,-1,2
10,2019,6439213,15,7,35,2
10,2019,17721139,50,1,43,1
10,2019,18009555,13,-1,-1,1
10,2019,23280244,17,6,37,1
10,2019,17102205,26,7,39,1
10,2019,22772493,58,1,40,1
10,2019,15388853,67,6,33,1
10,2019,16079353,3,-1,-1,1
10,2019,22000600,58,6,39,1
10,2019,18606109,26,1,44,1
10,2019,17779643,30,1,39,1
10,2019,19068128,80,6,42,1
10,2019,21167530,63,1,39,1
10,2019,19474424,52,1,39,1
10,2019,17580640,46,6,42,1
10,2019,16898008,62,1,40,1
10,2019,15135106,4,-1,-1,1
10,2019,21860536,55,7,39,1
10,2019,32372961,57,1,40,1
10,2019,18584989,58,1,45,1
10,2019,20142624,46,1,39,1
10,2019,32144059,14,-1,-1,1
10,2019,17096749,69,5,40,1
10,2019,18648224,73,1,39,1
10,2019,15636640,80,5,41,1
10,2019,-1,-1,-1,-1,1
10,2019,15182500,74,6,39,1
10,2019,4483095,63,5,39,2
10,2019,4130750,69,5,43,2
10,2019,-1,-1,-1,-1,1
10,2019,18775622,52,5,43,1
10,2019,16568812,58,1,39,1
10,2019,21297933,16,1,36,1
10,2019,20256082,26,1,44,1
10,2019,17137625,33,1,44,1
10,2019,18743913,59,1,43,1
10,2019,19864809,39,1,43,1
10,2019,17558402,85,5,39,1
10,2019,4334776,58,5,43,2
10,2019,5449430,31,1,39,2
10,2019,5377062,27,7,39,2
10,2019,17887257,36,1,35,1
10,2019,4670717,59,5,39,2
10,2019,-1,-1,-1,-1,2
10,2019,6269890,17,7,37,2
10,2019,27130799,31,1,39,1
10,2019,17918102,59,1,39,1
10,2019,-1,-1,-1,-1,1
10,2019,10670122,5,-1,-1,1
10,2019,14160734,15,7,34,1
10,2019,18743913,56,5,39,1
10,2019,18572665,3,-1,-1,1
10,2019,16437105,11,-1,-1,1
10,2019,17887257,36,1,44,1
10,2019,18450309,61,5,40,1
10,2019,21242714,14,-1,-1,1
10,2019,18828282,45,1,44,1
10,2019,16192064,85,5,43,1
10,2019,5064215,27,1,40,2
10,2019,7389841,48,1,39,2
10,2019,-1,-1,-1,-1,2
10,2019,19168307,49,1,39,1
10,2019,22307011,50,1,40,1
10,2019,17743239,74,1,40,1
10,2019,16493594,35,1,40,1
10,2019,-1,-1,-1,-1,1
10,2019,20092763,6,-1,-1,1
10,2019,23600271,5,-1,-1,1
10,2019,5532031,49,1,40,2
10,2019,19981833,64,6,39,1
10,2019,5521067,8,-1,-1,2
10,2019,4232069,65,5,39,2
10,2019,11325926,14,-1,-1,2
10,2019,20624537,35,6,40,1
10,2019,15553532,65,5,44,1
10,2019,-1,-1,-1,-1,2
10,2019,3695557,1,-1,-1,2
10,2019,21445524,33,1,44,1
10,2019,17317717,63,5,43,1
10,2019,21933944,77,5,37,1
10,2019,-1,-1,-1,-1,1
10,2019,22169734,27,1,36,1
10,2019,24854905,22,4,40,1
10,2019,16818320,4,-1,-1,1
10,2019,22439849,61,6,39,1
10,2019,18486528,42,1,44,1
10,2019,17479089,39,1,42,1
10,2019,6502961,0,-1,-1,2
10,2019,5087757,53,1,40,2
10,2019,22425158,13,-1,-1,1
10,2019,23734871,42,6,35,1
10,2019,18138888,35,7,40,1
10,2019,19789123,17,7,37,1
10,2019,24088055,41,4,39,1
10,2019,20921388,8,-1,-1,1
10,2019,15657750,70,5,39,1
10,2019,21297006,17,4,36,1
10,2019,20456357,10,-1,-1,1
10,2019,-1,-1,-1,-1,1
10,2019,17311425,56,6,37,1
10,2019,-1,-1,-1,-1,1
10,2019,19941630,14,-1,-1,1
10,2019,16308103,66,5,39,1
10,2019,-1,-1,-1,-1,1
10,2019,15388853,66,6,33,1
10,2019,16192064,79,5,39,1
10,2019,18538966,19,7,40,1
10,2019,19765111,26,1,42,1
10,2019,14849175,58,1,33,1
10,2019,20477096,2,-1,-1,1
10,2019,13895663,6,-1,-1,1
10,2019,-1,-1,-1,-1,1
10,2019,17987267,66,1,43,1
10,2019,-1,-1,-1,-1,1
10,2019,22444877,16,1,41,1
10,2019,17058649,3,-1,-1,1
10,2019,6796008,2,-1,-1,2
10,2019,13179620,2,-1,-1,1
10,2019,-1,-1,-1,-1,1
10,2019,22365423,61,1,40,1
10,2019,18381417,3,-1,-1,1
10,2019,17987158,15,7,35,1
10,2019,16339780,85,5,32,1
10,2019,18314065,43,1,40,1
10,2019,22098134,57,1,39,1
10,2019,-1,-1,-1,-1,1
10,2019,18240757,33,1,40,1
10,2019,26641978,16,7,36,1
10,2019,4917748,33,1,44,2
10,2019,25469023,54,5,39,1
10,2019,18597752,61,1,43,1
10,2019,18584989,59,6,39,1
10,2019,18566561,54,1,40,1
10,2019,-1,-1,-1,-1,1
10,2019,18600174,65,1,44,1
10,2019,17153796,1,-1,-1,1
10,2019,16262103,80,5,43,1
10,2019,25063310,27,1,43,1
10,2019,17902192,44,1,44,1
10,2019,18445607,62,6,39,1
10,2019,-1,-1,-1,-1,1
10,2019,19353530,18,1,39,1
10,2019,21560776,39,1,43,1
10,2019,16610327,72,5,46,1
10,2019,3187159,13,-1,-1,2
10,2019,25765979,46,1,44,1
10,2019,20140973,14,-1,-1,1
10,2019,-1,-1,-1,-1,2
10,2019,4708702,35,1,44,2
10,2019,19761278,48,1,39,1
10,2019,-1,-1,-1,-1,1
10,2019,18105245,48,1,43,1
10,2019,17040489,17,7,37,1
10,2019,18066404,47,1,42,1
10,2019,26145942,29,7,38,1
10,2019,5001237,30,7,39,2
10,2019,5208411,11,-1,-1,2
10,2019,20107251,4,-1,-1,1
10,2019,16510396,64,5,40,1
10,2019,-1,-1,-1,-1,2
10,2019,4853525,17,7,39,2
10,2019,19126616,45,6,40,1
10,2019,15924890,70,5,44,1
10,2019,19517154,10,-1,-1,1
10,2019,4132255,44,3,42,2
10,2019,18754029,60,5,41,1
10,2019,24792751,41,1,33,1
10,2019,16895011,51,1,42,1
10,2019,3890567,80,5,45,2
10,2019,21434309,56,6,39,1
10,2019,17724283,60,7,39,1
10,2019,18738811,49,1,39,1
10,2019,4445003,49,5,43,2
10,2019,28750967,22,1,43,1
10,2019,18653826,61,1,38,1
10,2019,24501995,53,1,40,1
10,2019,-1,-1,-1,-1,2
10,2019,16154956,58,1,43,1
10,2019,22745217,0,-1,-1,1
10,2019,15041508,72,5,39,1
10,2019,-1,-1,-1,-1,1
10,2019,23416789,54,6,39,1
10,2019,19244957,48,4,43,1
10,2019,18234968,45,1,40,1
10,2019,-1,-1,-1,-1,1
10,2019,18664940,77,5,39,1
10,2019,25413926,54,6,40,1
10,2019,-1,-1,-1,-1,1
10,2019,21895568,19,7,40,1
10,2019,-1,-1,-1,-1,1
10,2019,21881538,25,7,43,1
10,2019,22772493,57,1,40,1
10,2019,15041508,72,5,44,1
10,2019,16493594,39,7,37,1
10,2019,18738811,47,1,40,1
10,2019,17688088,37,1,39,1
10,2019,23973578,8,-1,-1,1
10,2019,19853690,80,2,39,1
10,2019,20836154,36,1,44,1
10,2019,19407229,0,-1,-1,1
10,2019,15723637,59,1,43,1
10,2019,17833400,50,1,44,1
10,2019,20580661,46,1,39,1
10,2019,-1,-1,-1,-1,1
10,2019,-1,-1,-1,-1,1
10,2019,19001268,63,1,39,1
10,2019,17788255,62,1,43,1
10,2019,19160627,13,-1,-1,1
10,2019,16174372,76,5,39,1
10,2019,19132689,34,1,42,1
10,2019,16190752,66,2,43,1
10,2019,16793349,67,5,39,1
10,2019,17730758,62,1,39,1
10,2019,18839851,80,5,43,1
10,2019,22453742,27,1,42,1
10,2019,19083515,49,1,44,1
10,2019,4831457,80,5,39,2
10,2019,-1,-1,-1,-1,1
10,2019,17300093,37,7,39,1
10,2019,18789536,45,1,40,1
10,2019,4688087,44,1,44,2
10,2019,-1,-1,-1,-1,1
10,2019,18743913,58,1,39,1
10,2019,17526929,60,1,44,1
10,2019,17590189,61,6,34,1
10,2019,17479114,42,7,39,1
10,2019,17102205,27,7,40,1
10,2019,20243415,64,1,40,1
10,2019,3947524,72,5,40,2
10,2019,16190752,66,1,43,1
10,2019,17937695,8,-1,-1,1
10,2019,16915068,67,5,40,1
10,2019,15565895,13,-1,-1,1
10,2019,-1,-1,-1,-1,1
10,2019,-1,-1,-1,-1,1
10,2019,5088973,7,-1,-1,2
10,2019,-1,-1,-1,-1,2
10,2019,17938464,26,1,44,1
10,2019,19806504,40,7,40,1
10,2019,15921349,14,-1,-1,1
10,2019,4111402,60,1,43,2
10,2019,18283255,44,1,43,1
10,2019,19201308,61,6,39,1
10,2019,18267743,42,1,39,1
10,2019,-1,-1,-1,-1,2
