mo_age,mo_unemployed,ks_age,ks_unemployed
16,34915,16,36506
18,106122,18,70083
20,42006,,
21,43851,,
24,88535,24,20302
27,39608,26,18198
29,34183,29,46702
30,35356,30,34260
31,30585,,
32,28350,32,21210
,,,
,,39,16306
41,29128,40,40417
,,,
47,30116,,
49,28635,49,15799
51,59711,50,15735
52,28974,,
54,30629,,
56,55310,,
57,34572,,
59,37798,,
61,59217,,
63,28572,,
69,23888,,
80,27193,69,18781
